8000/0,"Neoplasm, benign"
8000/1,"Neoplasm, uncertain whether benign or malignant"
8000/2,"Neoplasm, in situ"
8000/3,"Neoplasm, malignant"
8000/6,"Neoplasm, metastatic"
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic"
8001/0,"Tumor cells, benign"
8001/1,"Tumor cells, uncertain whether benign or malignant"
8001/3,"Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type"
8003/3,"Malignant tumor, giant cell type"
8004/3,"Malignant tumor, spindle cell type"
8005/0,"Clear cell tumor, NOS"
8005/3,"Malignant tumor, clear cell type"
8010/0,"Epithelial tumor, benign"
8010/2,"Carcinoma in situ, NOS"
8010/3,"Carcinoma, NOS"
8010/9,Carcinomatosis
8011/0,"Epithelioma, benign"
8011/2,"Epithelioma, in situ"
8011/3,"Epithelioma, malignant"
8012/3,"Large cell carcinoma, NOS"
8013/3,Large cell neuroendocrine carcinoma
8014/3,Large cell carcinoma with rhabdoid phenotype
8015/3,Glassy cell carcinoma
8020/3,"Carcinoma, undifferentiated, NOS"
8021/3,"Carcinoma, anaplastic, NOS"
8022/3,Pleomorphic carcinoma
8030/3,Giant cell and spindle cell carcinoma
8031/2,Giant cell carcinoma in situ
8031/3,Giant cell carcinoma
8032/3,"Spindle cell carcinoma, NOS"
8033/3,Pseudosarcomatous carcinoma
8034/3,Polygonal cell carcinoma
8035/3,Carcinoma with osteoclast-like giant cells
8040/0,"Tumorlet, benign"
8040/1,"Tumorlet, NOS"
8040/3,"Tumorlet, malignant"
8041/3,"Small cell carcinoma, NOS"
8042/2,Oat cell carcinoma in situ (C34._)
8042/3,Oat cell carcinoma (C34._)
8046/3,Non-small cell carcinoma (C34._)
8050/2,Papillary carcinoma in situ
8050/3,"Papillary carcinoma, NOS"
8051/0,Verrucous papilloma
8051/2,Verrucous carcinoma in situ
8052/0,"Squamous cell papilloma, NOS"
8052/2,"Papillary squamous cell carcinoma, non-invasive"
8052/3,Papillary squamous cell carcinoma
8053/0,"Squamous cell papilloma, inverted"
8053/3,"Squamous cell papilloma, inverted, malignant"
8060/0,Squamous papillomatosis
8070/2,"Squamous cell carcinoma in situ, NOS"
8070/3,"Squamous cell carcinoma, NOS"
8070/6,"Squamous cell carcinoma, metastatic, NOS"
8071/3,"Squamous cell carcinoma, keratinizing, NOS"
8072/2,"Squamous cell carcinoma, large cell, nonkeratinizing, in situ"
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8073/2,"Squamous cell carcinoma, small cell, nonkeratinizing, in situ"
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing"
8074/2,"Squamous cell carcinoma, spindle cell, in situ"
8074/3,"Squamous cell carcinoma, spindle cell"
8075/2,"Squamous cell carcinoma, adenoid, in situ"
8075/3,"Squamous cell carcinoma, adenoid"
8076/3,"Squamous cell carcinoma, micro-invasive (C53._)"
8078/3,Squamous cell carcinoma with horn formation
8080/2,Queyrat erythroplasia (C60._)
8080/3,"Queyrat erythroplasia, malignant (C60._)"
8081/2,Bowen disease (C44._)
8082/2,Lymphoepithelial carcinoma in situ
8082/3,Lymphoepithelial carcinoma
8083/2,Basaloid squamous cell carcinoma in situ
8083/3,Basaloid squamous cell carcinoma
8084/3,"Squamous cell carcinoma, clear cell type"
8090/1,Basal cell tumor (C44._)
8090/2,Basal cell carcinoma in situ (C44._)
8090/3,"Basal cell carcinoma, NOS (C44._)"
8091/2,"Multicentric basal cell carcinoma, in situ (C44._)"
8092/3,"Infiltrating basal cell carcinoma, NOS (C44._)"
8093/3,"Basal cell carcinoma, fibroepithelial (C44._)"
8094/2,Basosquamous carcinoma in situ (C44._)
8094/3,Basosquamous carcinoma (C44._)
8095/3,Metatypical carcinoma (C44._)
8096/0,Intraepidermal epithelioma of Jadassohn (C44._)
8097/3,"Basal cell carcinoma, nodular (C44._)"
8044/3,"Small cell carcinoma, intermediate cell"
8100/0,Trichoepithelioma (C44._)
8101/0,Trichofolliculoma (C44._)
8102/0,Trichilemmoma (C44._)
8102/3,Trichilemmocarcinoma (C44._)
8103/0,Pilar tumor (C44._)
8103/3,"Pilar tumor, malignant (C44._)"
8120/0,"Transitional cell papilloma, benign"
8120/1,"Urothelial papilloma, NOS (C65.9, C66.9, C67._)"
8120/2,"Transitional cell carcinoma in situ (C65.9, C66.9, C67._)"
8120/3,"Transitional cell carcinoma, NOS (C65.9, C66.9, C67._)"
8121/0,"Schneiderian papilloma, NOS (C30.0, C31._)"
8121/1,"Transitional cell papilloma, inverted, NOS (C30.0, C31._)"
8121/2,"Transitional cell carcinoma in situ, inverted, NOS (C30.0, C31._)"
8121/3,"Schneiderian carcinoma (C30.0, C31._)"
8123/2,"Basaloid carcinoma, in situ (C21.1)"
8124/2,Cloacogenic carcinoma in situ (C21.2)
8124/3,Cloacogenic carcinoma (C21.2)
8130/2,"Papillary transitional cell carcinoma, non-invasive (C65.9, C66.9, C67._)"
8140/2,"Adenocarcinoma in situ, NOS"
